grammar,usage,meaning,examples
〜あげく,V-た / Nの + あげく,After a lot of... in the end (usually a negative outcome),"何時間[なんじかん]も待っ[まっ]たあげく、彼[かれ]は来な[きな]かった。 / After waiting for hours, in the end he didn't come. / 悩ん[なやん]だあげく、会社[かいしゃ]を辞める[やめる]ことにした。 / After agonizing over it, I decided to quit the company in the end."
〜あまり,V-る / V-た / Nの + あまり,So much... that; out of extreme...,"驚き[おどろき]のあまり、声[こえ]が出な[でな]かった。 / I was so surprised that I couldn't speak. / 心配[しんぱい]するあまり、病気[びょうき]になってしまった。 / I worried so much that I became sick."
〜以上（は）,V (plain) / Nである + 以上[いじょう]（は）,Now that; since; as long as,"約束[やくそく]した以上、守ら[まもら]なければならない。 / Since I promised, I must keep it. / 学生[がくせい]である以上、勉強[べんきょう]するのは当然[とうぜん]だ。 / As long as you are a student, studying is a matter of course."
〜一方だ,V-る + 一方[いっぽう]だ,Is continuously doing; keeps doing (usually a negative trend),"東京[とうきょう]の物価[ぶっか]は上がる[あがる]一方[いっぽう]だ。 / Prices in Tokyo just keep going up. / 彼[かれ]の病気[びょうき]は悪化[あっか]する一方[いっぽう]です。 / His illness is continuously getting worse."
〜一方で,V (plain) / Nの + 一方[いっぽう]で,On one hand... on the other hand,"この布[ぬの]は水[みず]に強い[つよい]一方で、熱[ねつ]に弱い[よわい]。 / While this cloth is resistant to water, on the other hand it is weak to heat. / 彼[かれ]は仕事[しごと]が厳しい[きびしい]一方で、とても優しい[やさしい]人[ひと]だ。 / While he is strict at work, on the other hand he is a very kind person."
〜上で,V-た / Nの + 上[うえ]で,Upon doing; after doing (A is a necessary condition for B),"家族[かぞく]と相談[そうだん]した上で、お返事[へんじ]します。 / I will give you an answer after consulting with my family. / 書類[しょるい]をよく読ん[よん]だ上で、サインしてください。 / Please sign after carefully reading the document."
〜上は,V (plain) / V-た + 上[うえ]は,Now that; since (similar to 以上),"こうなった上は、最後[さいご]まで頑張る[がんばる]しかない。 / Now that it has come to this, I have no choice but to do my best until the end. / 留学[りゅうがく]する上は、しっかり勉強[べんきょう]したい。 / Since I am going to study abroad, I want to study hard."
〜うちに,V-ている / Nの / Adj + うちに,While; before (something changes state),"暗く[くらく]ならないうちに、帰り[かえり]ましょう。 / Let's go home before it gets dark. / 日本[にほん]にいるうちに、富士山[ふじさん]に登り[のぼり]たいです。 / While I am in Japan, I want to climb Mt. Fuji."
〜得る / 〜得ない,V-ます stem + 得る[える/うる] / 得ない[えない],Can / cannot; is possible / impossible,"それは起こり[おこり]得る[うる]ことだ。 / That is something that can possibly happen. / 彼[かれ]が嘘[うそ]をつくなんて、あり得ない[えない]。 / It is impossible that he would tell a lie."
〜おそれがある,V-る / Nの + おそれがある,There is a fear that; there is a risk of,"明日[あした]は台風[たいふう]が来る[くる]おそれがある。 / There is a risk that a typhoon will come tomorrow. / この薬[くすり]は副作用[ふくさよう]のおそれがあります。 / There is a risk of side effects with this medicine."
〜かぎり,V-る / V-ている / V-ない + かぎり,As long as; to the extent of,"私[わたし]が知っ[しっ]ているかぎり、彼[かれ]は独身[どくしん]です。 / As far as I know, he is single. / 生き[いき]ているかぎり、頑張り[がんばり]たい。 / As long as I am alive, I want to do my best."
