grammar,usage,meaning,examples
は,Nは,As for 〜; speaking of 〜 (Topic Marker),"私[わたし]は学生[がくせい]です。 / I am a student. / 今日[きょう]はいい天気[てんき]ですね。 / The weather is nice today, isn't it?"
が,Nが,Subject marker,"犬[いぬ]が好き[すき]です。 / I like dogs. / 雨[あめ]が降っ[ふっ]ています。 / It is raining."
を,Nを,Object marker,"本[ほん]を読み[よみ]ます。 / I read a book. / 水[みず]を飲ん[のん]でください。 / Please drink water."
に,Nに,To; in; at; on (Target / Time / Location),"明日[あした]、東京[とうきょう]に行き[いき]ます。 / I will go to Tokyo tomorrow. / ７時[しちじ]に起き[おき]ます。 / I wake up at 7 o'clock. / 机[つくえ]の上[うえ]に本[ほん]があります。 / There is a book on the desk."
で,Nで,At; in; by; with (Context / Tool / Location of action),"レストランで晩ご飯[ばんごはん]を食べ[たべ]ます。 / I will eat dinner at the restaurant. / 電車[でんしゃ]で会社[かいしゃ]に行き[いき]ます。 / I go to work by train."
へ,Nへ,To; towards (Direction),"日本[にほん]へ行き[いき]ます。 / I am going to Japan. / 家[いえ]へ帰り[かえり]ましょう。 / Let's go back home."
と,NとN,And; with,"パンと卵[たまご]を買い[かい]ました。 / I bought bread and eggs. / 友達[ともだち]と映画[えいが]を見[み]ます。 / I will watch a movie with a friend."
も,Nも,Also; too,"私[わたし]も行き[いき]ます。 / I will also go. / これも美味しい[おいしい]です。 / This is also delicious."
から,Nから,From (time or place),"アメリカから来ま[きま]した。 / I came from America. / 会議[かいぎ]は９時[くじ]からです。 / The meeting is from 9 o'clock."
まで,Nまで,Until; as far as; to (time or place),"５時[ごじ]まで働き[はたらき]ます。 / I work until 5 o'clock. / 駅[えき]まで歩き[あるき]ます。 / I will walk to the station."
の,NのN,Of; 's (Possession / Modifier),"これは私[わたし]のペンです。 / This is my pen. / 日本語[にほんご]の先生[せんせい]です。 / A Japanese language teacher."
や,NやN,And; such as (incomplete list),"かばんの中[なか]に本[ほん]やペンがあります。 / There are things like books and pens in the bag. / 犬[いぬ]や猫[ねこ]が好き[すき]です。 / I like dogs, cats, and such."
か (Question),Sentence + か,Question marker,"元気[げんき]ですか。 / Are you well? / これはいくらですか。 / How much is this?"
か (Or),NかN,Or,"明日[あした]か明後日[あさって]行き[いき]ます。 / I will go tomorrow or the day after. / コーヒーかお茶[ちゃ]を飲み[のみ]ますか。 / Will you drink coffee or tea?"
です,N / Adj + です,To be; is; am; are (polite affirmative),"私[わたし]は学生[がくせい]です。 / I am a student. / このりんごは美味しい[おいしい]です。 / This apple is delicious."
